word,sentiment,intensity,valence
兴利除弊,Awe,9,1
猫鼠同处,Disgust,9,-1
四海鼎沸,Disgust,7,-1
出疆载质,Disgust,9,-1
委国听令,Disgust,9,-1
国步艰难,SadDisgustss,7,-1
立国安邦,Awe,9,1
溽热,Disgust,1,-1
欢快,Joy,5,1
如意,Joy,3,1
得志,Joy,3,1
好日子,Awe,5,1
欢娱,Joy,5,1
庆幸,Joy,3,1
喜气,Joy,5,1
兴高采烈,Joy,7,1
快意,Joy,5,1
艳福,Joy,5,0
乐陶陶,Joy,5,1
逗人,Joy,5,1
眉开眼笑,Joy,5,1
笑逐言开,Joy,5,1
距跃三百,Joy,7,1
鹊笑鸠舞,Joy,7,1
神采飞扬,Joy,5,1
忍俊不禁,Joy,5,0
嫣然,Joy,5,1
笑噱,Joy,5,0
和颜悦色,Joy,5,1
胡敲梆子乱击磬－欢喜若狂,Joy,9,0
新媳妇怀孕－暗喜,Joy,5,0
侥幸,Joy,3,0
五世其昌,Awe,5,1
安乐窝,Joy,3,1
偏爱,Awe,7,0
挂牵,Awe,3,1
偏疼,Disgust,3,-1
娇惯,Disgust,5,-1
流连,Awe,5,0
顾惜,Awe,3,0
垂爱,Awe,5,0
乐此不疲,Awe,5,0
兴味,Awe,3,0
稀罕,Awe,5,1
一见钟情,Awe,7,0
挺拔,Awe,5,1
歆慕,Awe,3,0
心动,Awe,3,0
温顺,Awe,1,1
不忍释手,Awe,7,1
眷注,Awe,3,0
束身自修,Awe,1,1
难舍难分,Awe,5,1
老牛舔犊,Awe,7,1
渴望,Awe,7,0
热望,Awe,5,0
乖乖,Awe,5,1
和暖,Awe,3,1
温软,Awe,1,1
温情脉脉,Awe,5,1
可口,Awe,1,1
奇妙,Surprise,5,0
尊崇,Awe,9,1
崇敬,Awe,7,1
称颂,Awe,5,1
传颂,Awe,5,1
颂扬,Awe,7,1
先烈,SadDisgustss,3,1
恭谨,Awe,5,1
万寿无疆,Awe,5,1
福寿年高,Awe,3,1
老前辈,Awe,5,0
从善如流,Awe,5,1
尊贵,Awe,5,1
拜恳,Awe,3,1
鼻祖,Awe,7,1
和婉,Awe,3,1
怡和,Joy,3,0
和顺,Awe,5,1
娴静,Joy,1,1
