JoeNBC,Morning_Joe
foxandfriends,nytimes
nytimes,foxandfriends.
DailyMail-,NYTimes
ABC,washingtonpost
MarkHalperin,NBCPolitics
FoxNews,"CNN,"
FoxNews,CNN
CNN,FoxNews
CNN,Morning_Joe
nytimes,CNN
dbongino,CNN.
Morning_Joe,morningmika
JoeNBC,morningmika.
pastormarkburns,MSNBC,morningmika,Morning_Joe.
morningmika,Morning_Joe.
NBC,CNN.
CNN,"donlemon,"
CNN,FoxNews
ABC,washingtonpost
koster4missouri!,EricGreitens!
JoeBowman12:,jeffzeleny,CNN
FiIibuster:,jeffzeleny
NBCNightlyNews,CNN
CNN,NBCNews,FoxNews
MeetThePress,chucktodd.
levisteveholt:,realDonaldTrump
FoxNews,CNN
nytimes,washingtonpost
MSNBC,CNN,foxandfriends
nytimes,washingtonpost
"nytimes,","NBCNews,","ABC,","CBS,",CNN)
nytimes,CNN.
FoxNews:,POTUS:
nytimes,washingtonpost?
Greta,NBC,Comcast
washingtonpost,CNN.
nytimes,foxandfriends
nytimes(apologized),WaPo
NBCNews,VP
VP,SecondLady
NBCNews,CNN!
"NBCNews,","CBSNews,",ABC,CNN.
WSJ,CFPB
TuckerCarlson,seanhannity
nytimes,foxandfriends
DaveWeigel,WashingtonPost
CNN,MSNBC
CNN,TuckerCarlson.
greggutfeld,PeteHegseth
VP,RothfusForPA.
PARISDENNARD,seanhannity
CNN,NBCNews
SavannahGuthrie,TODAYshow
MariaBartiromo,FoxBusiness.
MattForMontana,GregForMontana!
AndrewGillum,RonDeSantisFL
USTreasury,StevenMnuchin1.
SpoxDHS,"CNN,",TSA
CNN,KUSINews)
FoxNews.,JesseBWatters,greggutfeld
johnrobertsFox,GillianHTurner,FoxNews
OANN,foxandfriends
JudgeJeanine,FoxNews
ByronYork,BillHemmer
SenRickScott,senatemajldr,SenJohnBarrasso,SenBillCassidy
LindseyGrahamSC,foxandfriends
OANN,JudicialWatch
FoxNews,FoxNews?
"nytimes,","washingtonpost,","CNN,",MSNBC
DevinNunes,ShannonBream,FoxNews
CNN,nytimes
