ISO_code,countries,region,personal freedom,economic freedom,human freedom,GDP(million)
PRY,Paraguay,Latin America,6.974598187,6.95,6.962299094,29734.89525
PER,Peru,Latin America,7.720786695,7.43,7.575393347,211389.2722
PHL,Philippines,Asia,6.497526694,7.34,6.918763347,313595.2087
POL,Poland,Europe,8.353120455,7.27,7.811560227,524509.5653
PRT,Portugal,Europe,9.043712243,7.51,8.276856122,217571.083
QAT,Qatar,Middle East & North Africa,5.525552977,7.49,6.507776488,167605.2198
ROU,Romania,Europe,8.653232499,7.69,8.171616249,211803.2819
RUS,Russia,Europe,5.714381665,6.83,6.272190833,1577524.146
RWA,Rwanda,Sub-Saharan Africa,6.467739051,7.48,6.973869526,9136.689514
SAU,Saudi Arabia,Middle East & North Africa,4.438732069,6.52,5.479366035,683827.1443
SEN,Senegal,Sub-Saharan Africa,6.774187769,6.22,6.497093885,16374.74375
SRB,Serbia,Europe,7.847943252,6.85,7.348971626,41431.6488
SYC,Seychelles,Sub-Saharan Africa,7.372524335,7.23,7.301262168,1485.994387
SLE,Sierra Leone,Sub-Saharan Africa,7.044659152,5.75,6.397329576,3774.270392
SGP,Singapore,Asia,7.479423635,8.84,8.159711817,323907.2344
SVK,Slovak Rep.,Europe,8.536499891,7.3,7.918249946,95769.03198
SVN,Slovenia,Europe,8.822791467,7.05,7.936395733,48769.65548
ZAF,South Africa,Sub-Saharan Africa,7.695143614,6.65,7.172571807,349419.3436
ESP,Spain,Europe,8.758213764,7.56,8.159106882,1311320.016
LKA,Sri Lanka,Asia,6.040721833,6.49,6.265360917,87174.6822
SDN,Sudan,Sub-Saharan Africa,4.246047171,5.36,4.803023585,117487.8571
SUR,Suriname,Latin America,7.788563046,6.36,7.074281523,3324.385325
SWZ,Swaziland,Sub-Saharan Africa,6.020328657,6.46,6.240164329,4408.56426
SWE,Sweden,Europe,9.334750298,7.44,8.387375149,538040.4582
CHE,Switzerland,Europe,9.185518099,8.39,8.78775905,678887.3368
TJK,Tajikistan,Asia,5.652324579,6.72,6.18616229,7145.701019
TZA,Tanzania,Sub-Saharan Africa,6.126418693,6.92,6.523209346,52090.32033
THA,Thailand,Asia,6.399562601,6.85,6.624781301,455220.9206
TLS,Timor-Leste,Asia,6.186449627,6.55,6.368224813,2954.621
TGO,Togo,Sub-Saharan Africa,6.72993801,5.82,6.274969005,4812.554346
TTO,Trinidad and Tobago,Latin America,6.920446388,6.73,6.825223194,22104.77583
TUN,Tunisia,Middle East & North Africa,6.577472244,6.29,6.433736122,40256.67521
TUR,Turkey,Middle East & North Africa,6.092465309,6.84,6.466232654,851102.4111
UGA,Uganda,Sub-Saharan Africa,6.128889094,7.41,6.769444547,25891.05895
UKR,Ukraine,Europe,6.586270408,5.98,6.283135204,112154.1851
ARE,United Arab Emirates,Middle East & North Africa,5.073350176,7.5,6.286675088,382575.0851
GBR,United Kingdom,Europe,8.995835872,8,8.497917936,2622433.96
USA,United States,North America,8.747310216,8.03,8.388655108,19390604
URY,Uruguay,Latin America,8.296141806,7.16,7.728070903,56156.97216
VNM,Vietnam,Asia,5.9680076,6.42,6.1940038,223863.9964
ZMB,Zambia,Sub-Saharan Africa,6.007698856,6.61,6.308849428,25808.66642
ZWE,Zimbabwe,Sub-Saharan Africa,5.170725575,6.06,5.615362787,17845.8214
