title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
Thrift Haul/Finds! ðŸ‘— ðŸ‘›,Beckie Jane Brown,7852,566,25,172,,,,,,,,,,
Open offices are overrated,Vox,768469,21266,878,1479,,,,,,,,,,
GIRLS DAY!,Casey Barker Vlogs,37734,2598,21,154,,,,,,,,,,
Street Fighter V: Arcade Edition - Reveal Trailer,Street Fighter,160653,3617,685,1455,,,,,,,,,,
How to Get Your Car to Make Sharper Turns (Steering Angle Mod),ChrisFix,613830,26117,549,3342,,,,,,,,,,
Ellen & Oprah Take Over a Grocery Store Part 1,TheEllenShow,1677380,31385,924,2166,,,,,,,,,,
Why We Feel Lonely and Odd,The School of Life,108591,6408,99,486,,,,,,,,,,
Las Vegas shooter checked into multiple hotels before the attack,ABC News,375458,1570,339,1590,,,,,,,,,,
What Would Happen If All The Bugs Died?,Life Noggin,273874,12148,160,2838,,,,,,,,,,
Pro-Gun Campaigner Says 'Nothing Should Be Done' About Guns in the U.S. | Good Morning Britain,Good Morning Britain,296893,3789,1127,0,,,,,,,,,,
NEW IN BEAUTY: October | Fleur De Force,Fleur DeForce,103246,3429,79,294,,,,,,,,,,
KUWTK | Kim Kardashian Gets Upset Over Bad Paparazzi Pics on Vacay | E!,E! Entertainment,564977,2097,259,228,,,,,,,,,,
Wonder Wheel â€“ Official Trailer [HD] | Amazon Studios,Amazon Studios,376610,1881,390,452,,,,,,,,,,
"My slowest, longest dab",jacksfilms,1268966,99367,3657,9787,,,,,,,,,,
Not Worth Watching feat. Zoella (and Co!),Sprinkleofglitter,294506,21965,214,1131,,,,,,,,,,
GoPro Hero 6!,iJustine,140979,6057,299,1033,,,,,,,,,,
Wrestling Games - Angry Video Game Nerd (Episode 149),Cinemassacre,627427,45115,528,8314,,,,,,,,,,
"Eric Church - Why Not Me | October 4, 2017",Grand Ole Opry,1894406,7806,66,357,,,,,,,,,,
I'M BUYING A HOUSE!,LaurDIY,1196180,51561,593,7995,,,,,,,,,,
SPICY Noodles & Chinese BURGERS in Los Angeles: Xiâ€™an Street Food Tour,Strictly Dumpling,293024,7645,226,1143,,,,,,,,,,
Blade Runner 2049 - Movie Review,Jeremy Jahns,287049,11600,371,1587,,,,,,,,,,
Weird music test you have to try!,ANDREW HUANG,330444,10100,591,2132,,,,,,,,,,
Game Revealed: Season 7 Episode 6: Zombie. Polar. Bear. (HBO),GameofThrones,219967,4643,325,503,,,,,,,,,,
Chris & Kem - Little Bit Leave It (Lyric Video),ChrisandKemVEVO,477015,15027,2491,0,,,,,,,,,,
VLOG : Hobbies House Party + The Aquarium! ðŸ·,Gabriella â™¡,104157,5109,266,422,,,,,,,,,,
Homemade Almond Butter And Breakfast Oats,SORTEDfood,84684,3460,41,250,,,,,,,,,,
Did the Las Vegas shooter plan a different attack?,Al Jazeera English,449475,1523,509,1906,,,,,,,,,,
Google Pixelbook first look,The Verge,523645,8179,469,1431,,,,,,,,,,
TESTING 3 DAY BROW TATTOO?! *FAIL* | sophdoesnails,sophdoesnails,139717,6284,122,644,,,,,,,,,,
Teairra Mari Opens Up About Rehab,The Real Daytime,51266,819,9,143,,,,,,,,,,
NEON SKULL HALLOWEEN MAKEUP TUTORIAL,James Charles,642213,45882,922,4613,,,,,,,,,,
England 1-0 Slovenia - Harry Kane & Joe Hart Post Match Interview - England Qualify For World Cup,MrBeanyman,2700,51,2,6,,,,,,,,,,
Everything Wrong With Blade Runner In 17 Minutes Or Less,CinemaSins,650018,15742,1555,3589,,,,,,,,,,
Neil deGrasse Tyson Answers Science Questions From Twitter | Tech Support | WIRED,WIRED,808732,27781,818,3284,,,,,,,,,,
CLog 10042017 - Q&A NO MORE!!!,CwcvilleGuardian,23697,642,194,926,,,,,,,,,,
How Much Do You Poop In A Lifetime?,The Infographics Show,104910,3988,152,1247,,,,,,,,,,
Stranger Things: The Game,BonusXP,181288,612,31,69,,,,,,,,,,
Fast Food Hot Sauce Taste Test,Good Mythical Morning,1591108,34823,716,3353,,,,,,,,,,
DAY TO DEAD HALLOWEEN DRUGSTORE MAKEUP TUTORIAL | JAMIE GENEVIEVE,Jamie Genevieve,80750,3825,116,206,,,,,,,,,,
One More Light (Official Lyric Video) - Linkin Park,Linkin Park,1653610,156169,975,10745,,,,,,,,,,
HALLOWEEN COSTUME THRIFT SHOPPING?!,Amber Scholl,364807,16671,326,1980,,,,,,,,,,
Rich Uncle Pennybags Look-Alike Trolls Equifax Hearing,Roll Call,122433,1704,33,201,,,,,,,,,,
Dark | Teaser [HD] | Netflix,Netflix,208326,3502,61,262,,,,,,,,,,
We Need To Talk About The Las Vegas Shooting...,Philip DeFranco,1862274,102879,3098,27295,,,,,,,,,,
Google Pixel 2 vs Pixel 2 XL: Hands on!,UrAvgConsumer,179399,7804,186,1377,,,,,,,,,,
A Boogie Wit Da Hoodie - Drowning (WATER) [Official Music Video],A-Boogie Wit Da Hoodie,1093754,47968,882,7714,,,,,,,,,,
í•œêµ­ ë§¥ë„ë‚ ë“œ ì‹  ì´ˆì½œë¦¿ ë©”ë‰´!?!,ì˜êµ­ë‚¨ìž Korean Englishman,597584,9098,233,2489,,,,,,,,,,
American VS French Makeup Tutorial,Christen Dominique,306815,19911,192,2637,,,,,,,,,,
TOUZANI BIJ CRISTIANO RONALDO THUIS !,TOUZANI TV,1504716,53427,647,19106,,,,,,,,,,
Chatty GRWM & a day in my life vlog! (drunk on a red carpet) | Melanie Murphy,Melanie Murphy,27375,1883,31,280,,,,,,,,,,
Man Lives as an ADULT BABY! | My Crazy Obsession,tlc uk,147352,1079,284,1093,,,,,,,,,,
St. Vincent - Los Ageless (Official Video),St. Vincent,301608,7574,336,645,,,,,,,,,,
Watch The Moment Jason Aldean Stopped Performing During The Las Vegas Shooting | TIME,TIME,1424654,2692,593,2892,,,,,,,,,,
Jim Carrey | Norm Macdonald Live,Norm Macdonald,544761,8691,477,5325,,,,,,,,,,
ADAM: The Mirror,Oats Studios,445342,19130,165,1523,,,,,,,,,,
Robin Williams Was Almost Not Genie?!,SuperCarlinBrothers,222265,9449,110,1294,,,,,,,,,,
The strange case of the cyclops sheep - Tien Nguyen,TED-Ed,282942,11953,120,540,,,,,,,,,,
Hop Onboard the Shortest Flight in the World,Great Big Story,145024,2745,79,331,,,,,,,,,,
Girlfriend Of Vegas Shooter Arrives At LAX From Philippines For Questioning,CBS Los Angeles,500744,1874,890,2285,,,,,,,,,,
Let's Talk about Books,vlogbrothers,190263,13212,114,1826,,,,,,,,,,
ENDURO MTB BACKFLIPS!!!,Harry Main,118974,4134,51,534,,,,,,,,,,
BABY GETS HER OWN BED!,SACCONEJOLYs,205318,9410,155,849,,,,,,,,,,
"Coldplay performing Free Fallin' - Tribute to Tom Petty (Portland, 2 October)",ColdplayDaily,172679,1809,46,253,,,,,,,,,,
'KUWTK': Kendall Jenner Tearfully Apologizes for Pepsi Commercial: 'I Genuinely Feel Like S**t',Entertainment Tonight,706545,3340,1715,1162,,,,,,,,,,
Assassin's Creed Origins: New Stealth Gameplay in Ancient Egypt | Ubiblog | Ubisoft [US],Ubisoft US,104269,2446,87,696,,,,,,,,,,
Famous YouTubers | My Parents React (Ep. 26),IISuperwomanII,1259277,87966,1034,7936,,,,,,,,,,
September Favorites 2017,clothesencounters,187881,6898,234,1187,,,,,,,,,,
The Martin Garrix Show: S2.E7 Show Day,Martin Garrix,372740,21737,228,1408,,,,,,,,,,
Liberal Redneck - On Guns,Trae Crowder,99189,8726,157,1373,,,,,,,,,,
"WWE holds a moment of silence in memory of those lost in the Las Vegas tragedy: Raw, Oct. 2, 2017",WWE,348102,8663,281,1162,,,,,,,,,,
autumn.,Marzia,145233,25054,135,1179,,,,,,,,,,
How To Make A GIANT CAKE PUN PENCIL Out Of Chocolate CAKE! | Yolanda Gampp | How To Cake It,How To Cake It,679102,25481,424,12984,,,,,,,,,,
Tom Petty & The Heartbreakers  -- American Girl,Rock & Roll Hall of Fame,719712,4763,116,767,,,,,,,,,,
My Little Pony x ColourPop Review and Try-On (ohmygoditssocute),Arden Rose,58229,3741,79,232,,,,,,,,,,
LET'S HELP THE VICTIMS OF THE LAS VEGAS ATTACK,CaseyNeistat,1319110,85402,2427,6931,,,,,,,,,,
"Starved, Scared Dog is Transformed By Love | The Dodo",The Dodo,190429,9244,45,736,,,,,,,,,,
$17 Fried Chicken Vs. $500 Fried Chicken,BuzzFeedVideo,6620672,149700,4140,18119,,,,,,,,,,
HAIM - Little of Your Love,HaimVEVO,353144,16507,386,811,,,,,,,,,,
Emily's Recommended Reading!,thebrainscoop,20827,1854,14,350,,,,,,,,,,
Unboxings Galore! | The Weekly #37,SprinkleofChatter,169244,6217,147,846,,,,,,,,,,
Elon Musk: We're Going to Mars by 2024,ColdFusion,247919,11984,273,2332,,,,,,,,,,
Jack Ryan - Teaser: The Reveal [HD] | Amazon Video,Amazon Video,93235,562,71,112,,,,,,,,,,
Brain Surgery Costs HOW MUCH $$ !?!,Courtelizz1,50873,2509,68,973,,,,,,,,,,
MY LITTLE PONY CAKE! - NERDY NUMMIES,Rosanna Pansino,415656,20304,248,5857,,,,,,,,,,
Here's why gun stocks rise after mass shootings,CNNMoney,156368,585,6489,1561,,,,,,,,,,
Self-Conscious Computer (feat. Anna Akana) - JACK AND DEAN,Jack and Dean,226828,24381,200,1022,,,,,,,,,,
LVMPD Sheriff Briefs Media Regarding Active Shooter 10/2/2017,Las Vegas Metropolitan Police,477967,0,0,0,,,,,,,,,,
Bella Hadid Goes Sneaker Shopping With Complex,Complex,806851,24110,1388,3554,,,,,,,,,,
Kehlani - Honey [Official Audio],kehlani parrish,504713,40783,287,3246,,,,,,,,,,
Danny MacAskill Tests Santa Cruz Reserve Carbon Wheels,Santa Cruz Bicycles,1121524,14222,533,474,,,,,,,,,,
Gucci Mane - Met Gala feat. Offset [Official Music Video],OfficialGucciMane,989920,36887,698,2433,,,,,,,,,,
Why Do We Binge? | JACK HOWARD,JackHoward,40234,3474,50,333,,,,,,,,,,
MIDNIGHT GALAXY CUPCAKES - The Scran Line,The Scran Line,33009,2360,15,195,,,,,,,,,,
Tesla Model 3 - Interior Hidden Features - OCDetailingÂ®,OCDetailing,132587,1606,283,446,,,,,,,,,,
Las Vegas: Mass casualties in Mandalay Bay shooting - BBC News,BBC News,1302853,2729,550,6742,,,,,,,,,,
The Breeders - Wait in the Car (Official Video),4AD,59894,1354,19,104,,,,,,,,,,
The Reaction Ferries of Basel: What Have We Missed?,Tom Scott,261261,14061,35,999,,,,,,,,,,
Three Shows You Should Binge!,ChewingSand,34898,2302,39,307,,,,,,,,,,
My First Lookbook,ConnorFranta,134363,20856,101,1334,,,,,,,,,,
TODDLER CLOTHING HAUL! CUTEST EVER!,Dina Tokio,92555,3690,123,334,,,,,,,,,,
The Chaos President Cold Open - SNL,Saturday Night Live,6928356,59380,15667,12225,,,,,,,,,,
Cesc Fabregas finally admits to throwing pizza at Ferguson,Eng Vids,20595,86,5,25,,,,,,,,,,
Huge Autumn Clothing Haul & Try On | Zoella,Zoella,1519138,97181,868,634,,,,,,,,,,
Sarah Close - Only You (Official Video),SarahClose1,274049,14315,265,867,,,,,,,,,,
Cookbook drops tomorrow!,Binging with Babish,214254,8347,106,729,,,,,,,,,,
Ty Dolla $ign - Dawsin's Breek ft. Jeremih [Music Video],Ty Dolla $ign,219349,10475,398,713,,,,,,,,,,
MEET MY NEW KITTEN!,PsychoSoprano,632724,46940,354,6762,,,,,,,,,,
Questions I've Never Answered...,Amelia Liana,68438,3739,78,271,,,,,,,,,,
Jacob Banks - Unknown (To You) Official Music Video,JacobBanksVEVO,69495,2692,48,220,,,,,,,,,,
THE MOM'S VIEW IS BACK!,The Mom's View,210829,10278,199,2693,,,,,,,,,,
How To Make Grass Rope [Improved Method],NightHawkInLight,88199,4450,35,389,,,,,,,,,,
Can Demi Lovato remember her own lyrics?,BBC Radio 1,1635289,47869,317,1199,,,,,,,,,,
The Simpsons - Lyrics Workshop with Tom Petty,Citra Putri,66464,373,4,34,,,,,,,,,,
Arsenal 2-0 Brighton | DT Lashes Out At The Alexis Haters!!,ArsenalFanTV,321253,5003,402,739,,,,,,,,,,
Tom Petty and Garry Shandling,Kunchcar Whaleboy,154042,1427,18,337,,,,,,,,,,
9-30-2017 Marilyn Manson Hammerstein Ballroom prop/stage collapse,Rock and Rollinâ€™,1273191,793,208,586,,,,,,,,,,
COOKING TINY FOOD WHILE CONJOINED CHALLENGE!!,Liza Koshy Too,2137377,178286,886,4245,,,,,,,,,,
music genre: video game 2,SethEverman,1015969,98208,343,5482,,,,,,,,,,
Alexandra Burke & Gorka Marquez Paso Doble to â€˜Ven a Bailar' - Strictly Come Dancing 2017,BBC Strictly Come Dancing,219634,1801,59,371,,,,,,,,,,
Nashville vigil for Las Vegas shooting victims #PrayForVegas,69 detik,106031,454,28,67,,,,,,,,,,
The Bolton Crab - First ever MMA 'Walls of Jericho' finish,FCC: Full Contact Contender,431803,867,85,199,,,,,,,,,,
My body and I | MUMDAYS,Giovannasworld,37257,1449,20,157,,,,,,,,,,
Being A Gay Asian Woman: My Experience | Ingrid Nilsen,Ingrid Nilsen,166184,5836,361,997,,,,,,,,,,
Cuphead - All Bosses Speedrun (Regular) - 37:49.36,fireb0rn,324947,3397,204,832,,,,,,,,,,
"Tom Cruise singing (Jerry Maguire, 1996)",Stones from Tiflis,145885,580,14,36,,,,,,,,,,
Golden Retriever is the Master of Self-Control,INSIDER,71307,2923,31,275,,,,,,,,,,
Steve Martin and the Steep Canyon Rangers: NPR Music Tiny Desk Concert,NPR Music,181611,5199,56,289,,,,,,,,,,
What Actually Happened...,Bubzvlogz,168017,6253,56,491,,,,,,,,,,
Paris Saint-Germain - Girondins de Bordeaux (6-2) - RÃ©sumÃ© - (PSG - GdB) / 2017-18,Ligue 1 Conforama,551462,4037,231,396,,,,,,,,,,
Follow Me Around- HALLOWEEN EXPRESS!,grav3yardgirl,338853,22400,187,3286,,,,,,,,,,
Europe - Walk The Earth (Official Video),europethebandtv,46427,1087,14,182,,,,,,,,,,
How to Vlog (feat. TomSka),Ami Yamato,14756,2172,20,250,,,,,,,,,,
King of the Hill - Lucky's Costco Settlement Story,David R,68499,199,4,60,,,,,,,,,,
"Tom Petty And The Heartbreakers - Yer So Bad. (Hollywood Bowl, Los Angeles CA 9/21/17)",Brian James,261549,83,2,30,,,,,,,,,,
"September Favourites: Beauty, Style & Story Time | The Anna Edit",The Anna Edit,99695,3305,68,179,,,,,,,,,,
Every Tinder Ever,Sam O'Nella Vlog,1089868,19450,922,1305,,,,,,,,,,
Fan Throws John Cena's Shirt back! Raw 8/22/2011 [1080P HD],Sohaib Siddiqui,5819,32,5,7,,,,,,,,,,
Margot Robbie TATTOOS One of the Production Staff! | The Graham Norton Show,The Graham Norton Show,1581713,19943,498,1117,,,,,,,,,,
HOT DOG INSIDE A BURGER - VERSUS,HellthyJunkFood,820971,16571,1450,3495,,,,,,,,,,
"Film Theory: Pickle Rick ACTUALLY WORKS! (Rick and Morty, Feat. DAN HARMON!)",The Film Theorists,4014314,137562,14277,16496,,,,,,,,,,
5 Easy Nail Art Designs Using HOUSEHOLD Items!,cutepolish,74034,3068,123,170,,,,,,,,,,
How I Deal with Chronic Pain,Simon and Martina,309685,38418,165,5724,,,,,,,,,,
When your kid annoys you part 4,Jamie Baker,561261,10307,599,688,,,,,,,,,,
How to be Gangster 2.0,nigahiga,3785269,211997,3460,17765,,,,,,,,,,
How To Actually Cover Stories About Antifa - Some News,Cracked,296298,18116,5835,8507,,,,,,,,,,
Angry Antonio Brown Tosses Cooler on the Sideline! | Steelers vs. Ravens | NFL Wk 4,NFL,78494,430,24,291,,,,,,,,,,
The perfect thing for a hangover!,JennThe Mermaid,455896,2310,4731,0,,,,,,,,,,
Ruth Davidson: Speech to Conservative Party Conference 2017,Conservatives,13182,0,0,0,,,,,,,,,,
"J Balvin, Willy William - Mi Gente featuring BeyoncÃ© ft. BeyoncÃ©",jbalvinVEVO,13884911,440818,23521,34060,,,,,,,,,,
27 Things I've Learned In 27 Years (Sister Sister Parody),Evelyn From The Internets,31797,5791,14,738,,,,,,,,,,
Krept & Konan - For Me (Official Video),KreptandKonanVEVO,727424,15514,1007,1148,,,,,,,,,,
Sneaky toddler steals Prince Harry's popcorn,The Royal Family Channel,16514687,64455,7393,6953,,,,,,,,,,
Sam Smith - Too Good at Goodbyes in the Live Lounge,BBCRadio1VEVO,1222417,40310,260,1409,,,,,,,,,,
What Happens If You Drop a Nuclear Bomb Into a Hurricane?,RealLifeLore,2066128,43240,2331,7297,,,,,,,,,,
I Dressed Like Store Mannequins For A Week,Safiya Nygaard,3182521,173432,1395,10301,,,,,,,,,,
"Help, Hope and Hurricanes",Sam Branson,45411,727,18,66,,,,,,,,,,
"Bruce Springsteen & Bryan Adams -- Cuts Like a Knife (clip) -- Invictus Games Toronto, Sept 30-17",Karen B,26528,43,4,9,,,,,,,,,,
MONSTER FROGFISH FOUND!,Brave Wilderness,2727857,46130,1319,5817,,,,,,,,,,
I put YouTubers on my nails and they all saw,Simply Nailogical,1835903,110780,1486,10236,,,,,,,,,,
Maroon 5 - What Lovers Do ft. SZA,Maroon5VEVO,9908531,268285,5473,13102,,,,,,,,,,
Sam Smith - Too Good At Goodbyes (Live From Hackney Round Chapel),SamSmithWorldVEVO,3182012,131124,965,5272,,,,,,,,,,
Message Impossible | Lele Pons,Lele Pons,3450972,140688,5786,4974,,,,,,,,,,
Lt Gen Silveria addresses cadets about racism incident,USAFAOfficial,1111425,20456,800,4835,,,,,,,,,,
Would you eat an Apple like this? - Food Life Hack,DaveHax,432635,6683,1060,933,,,,,,,,,,
How to Build a Teleporter with Aliens,minutephysics,448541,17784,683,1650,,,,,,,,,,
73 Questions with Helga | Vogue Parody,Liza Koshy,6781086,441896,7082,20321,,,,,,,,,,
El DÃ­a DespuÃ©s (02/10/2017): Los pitidos a PiquÃ©,El DÃ­a DespuÃ©s,68136,996,235,241,,,,,,,,,,
Bruce Springsteen Toronto 09-30-2017,Matt Kaell,7486,32,2,9,,,,,,,,,,
Real Life: THE GAME!  (w/ Lilly Singh),AnthonyPadilla,1107461,65271,1041,2012,,,,,,,,,,
New Yorkers Help Us Write An Inspirational Jam! The Key of Awesome #126,The Key of Awesome,70852,2849,159,349,,,,,,,,,,
dodie - 6/10,dodieVEVO,644253,91796,619,7945,,,,,,,,,,
Is Superman Too Overpowered?,VariantComics,253144,7120,631,2539,,,,,,,,,,
"Hold the Door! | Anwar Jibawi, Inanna Sarkis, Hannah Stocking & Lele Pons",Anwar Jibawi,2189969,86847,2278,4542,,,,,,,,,,
My Evening Routine | Get Ready With Me | Tanya Burr,Tanya Burr,325323,17021,911,182,,,,,,,,,,
"I Spent $1,000 on MILK Makeup, And....",Jackie Aina,793832,39752,1256,3611,,,,,,,,,,
Cats Can Be A Real Pain In The Grass - Simon's Cat | STORYTIME,Simon's Cat,342675,10798,221,441,,,,,,,,,,
Dan Bilzerian Running towards Las Vegas Shooter,Badassery Promotions,1349499,2022,5542,1524,,,,,,,,,,
Charades with Gal Gadot and Miley Cyrus,The Tonight Show Starring Jimmy Fallon,2260919,44855,936,3425,,,,,,,,,,
I JUST CAN'T BELIEVE IT!,Tanya Burr,160102,7021,201,412,,,,,,,,,,
Everything Wrong With Scream 2 In 19 Minutes Or Less,CinemaSins,819733,19767,444,2963,,,,,,,,,,
Terry Crews Hallucinates While Eating Spicy Wings | Hot Ones,First We Feast,3866168,168316,1749,24433,,,,,,,,,,
Lin-Manuel Miranda - Almost Like Praying feat Artists for Puerto Rico [Music Video],Atlantic Records,903879,43710,1006,3212,,,,,,,,,,
Ryan Gosling and Harrison Ford Lose It at Hilarious Interview! | This Morning,This Morning,3350344,41548,1057,0,,,,,,,,,,
UFC 217: Press Conference,UFC - Ultimate Fighting Championship,170438,2644,176,1652,,,,,,,,,,
BRAND NEW B&W | Spider Cat - Simon's Cat (Halloween Special),Simon's Cat,157877,9531,109,414,,,,,,,,,,
10 Gadgets From Fan Mail put to the Test!,CrazyRussianHacker,1049537,24550,763,2856,,,,,,,,,,
HIGHLIGHTS | Scotland 1-0 Slovakia,Scotland National Team,119621,973,46,433,,,,,,,,,,
Every Cat At 3AM,Gus Johnson,750915,29652,1007,1769,,,,,,,,,,
BMW Hot Tub First Tests and Issues,colinfurze,1021432,29210,912,2191,,,,,,,,,,
The #PuberMe Grand Finale With Lin-Manuel Miranda,The Late Show with Stephen Colbert,505272,10720,118,766,,,,,,,,,,
AUTUMN/FALL HAUL 2017 | sophdoesnails,sophdoesnails,48788,4146,31,532,,,,,,,,,,
How Bacteria Rule Over Your Body â€“ The Microbiome,Kurzgesagt â€“ In a Nutshell,1613332,97372,710,8278,,,,,,,,,,
Prankster interrupts Theresa May's conference speech to hand her fake P45,Guardian Wires,801264,4978,668,1742,,,,,,,,,,
Unbelieveable AIRBUS A380 HARD CROSSWIND LANDING during a STORM at DÃ¼sseldorf - 4K,Cargospotter,4238293,14169,637,1516,,,,,,,,,,
I SPENT â‚¬391 IN SEPHORA PARIS!!! IS THIS WORTH THE MONEY??,Patricia Bright,307348,14637,222,2137,,,,,,,,,,
How To LEVEL UP Hot Chocolate Fudge Sauce,SORTEDfood,64746,2607,35,257,,,,,,,,,,
The World's Largest Fruits,vlogbrothers,175046,10557,181,1282,,,,,,,,,,
CRAZY GOLF Vs. The WIFE!,Life of Tom,217674,7553,176,849,,,,,,,,,,
TRYING TO MAKE IT ALL WORK!,SACCONEJOLYs,133760,6743,132,540,,,,,,,,,,
Isla Fisher is NOT Amy Adams,Jimmy Kimmel Live,542688,10028,221,1074,,,,,,,,,,
MORNING ROUTINE AUTUMN 2017,Helen Anderson,31488,2378,18,160,,,,,,,,,,
How To Survive The Apocalypse  - Scientific Survival Tips,AsapSCIENCE,558086,24278,476,2020,,,,,,,,,,
My 6 MONTH Pregnancy Essentials (Ad),FleurDeVlog,43615,1578,46,153,,,,,,,,,,
SEPTEMBER FAVOURITES 2017 | Hannah Witton,Hannah Witton,20586,1559,18,167,,,,,,,,,,
P!nk - Whatever You Want (Lyric Video),PinkVEVO,659975,43078,368,1918,,,,,,,,,,
Julia Roberts Acts Out Her Film Career w/ James Corden,The Late Late Show with James Corden,2245809,35886,545,1445,,,,,,,,,,
"Russell Brand Talks Marriage, Fatherhood & Recovery",Wendy Williams,245397,4894,263,1390,,,,,,,,,,
10 MINUTE GLAM AF MAKEUP CHALLENGE Ft. NIKKIE TUTORIALS,Jaclyn Hill,947899,62185,2034,6726,,,,,,,,,,
I Buy My Boyfriends Outfits,JennaMarbles,2310969,173175,1011,20223,,,,,,,,,,
Insane Ways Rich People Are Prepping For The Apocalypse!,Greg and Mitch,131506,4477,581,611,,,,,,,,,,
5 YEAR ANNIVERSARY!,PointlessBlogVlogs,854694,50281,482,5393,,,,,,,,,,
Arnold Was Hit With 1000000 Volts,Meet Arnold,1882259,56959,2261,8609,,,,,,,,,,
The gun modification that made the Las Vegas shooting so deadly,Vox,788368,20208,5355,7274,,,,,,,,,,
The Disturbing History of the Suburbs,CollegeHumor,1685465,51330,17843,21194,,,,,,,,,,
Google Pixel 2 Impressions!,Marques Brownlee,2426158,68765,1935,12808,,,,,,,,,,
Clueless Gamer: Shadow Of War With Kumail Nanjiani  - CONAN on TBS,Team Coco,885246,26740,672,2170,,,,,,,,,,
October 4th - Google Event,Made by Google,2226591,0,0,0,,,,,,,,,,
"Eric Church - Why Not Me | October 4, 2017",Grand Ole Opry,4429761,23351,1178,1633,,,,,,,,,,
This Week I Learned to Solve the 5x5x5 Rubik's Cube,Mike Boyd,294367,10127,158,1926,,,,,,,,,,
NF - Outcast,NFVEVO,368046,32432,322,4701,,,,,,,,,,
"What Makes Black Mirror So Dark â€” (GOT, BB spoilers)",Nerdwriter1,770592,29352,1163,2938,,,,,,,,,,
GYMNASTICS IS A TOUGH SPORT! | Worlds Qualification | Vlog (2),Nile Wilson,87939,6516,25,423,,,,,,,,,,
Frozen Theory: Rapunzel Is Anna & Elsa's Cousin,SuperCarlinBrothers,177412,9030,194,2727,,,,,,,,,,
Las Vegas shooter checked into multiple hotels before the attack,ABC News,396249,1641,355,1628,,,,,,,,,,
Why We Feel Lonely and Odd,The School of Life,160686,8506,130,596,,,,,,,,,,
The In-N-Out 100x100 Burger Challenge,BuzzFeedBlue,856634,13111,1144,1619,,,,,,,,,,
Self Help Exercise | The Momâ€™s View,The Mom's View,27191,1894,48,333,,,,,,,,,,
What Would Happen If All The Bugs Died?,Life Noggin,378677,14636,234,3389,,,,,,,,,,
Riverdale Cast Plays Truth or Dare | Teen Vogue,Teen Vogue,1284840,56416,302,2358,,,,,,,,,,
Products that SUCKED & SLAYED this Month!,makeupbymichaelfinch,112349,7422,92,563,,,,,,,,,,
DENY U by SUPERFRUIT,SUPERFRUIT,134842,18668,85,2921,,,,,,,,,,
Street Fighter V: Arcade Edition - Reveal Trailer,Street Fighter,206483,4064,788,1675,,,,,,,,,,
NEW IN BEAUTY: October | Fleur De Force,Fleur DeForce,116254,3745,86,294,,,,,,,,,,
I Still Have Lots Of Stuff - VEDO 5,Daniel J. Layton,23600,2555,1,160,,,,,,,,,,
TRUE FRIENDSHIP | Chris & Jack,Chris and Jack,35525,2072,13,157,,,,,,,,,,
CLog 10042017 - Q&A NO MORE!!!,CwcvilleGuardian,38936,788,240,1327,,,,,,,,,,
How to Get Your Car to Make Sharper Turns (Steering Angle Mod),ChrisFix,742393,29229,640,3647,,,,,,,,,,
PlayerUnknown's Battlegrounds: THE ZONE,Nukazooka,122425,8520,81,531,,,,,,,,,,
Emre Can selects his ULTIMATE XI | Which two Reds make the cut?,Liverpool FC,88806,2053,35,298,,,,,,,,,,
I Used My First Ever Phone For a Day,emmablackery,94672,7450,179,925,,,,,,,,,,
Ellen & Oprah Take Over a Grocery Store Part 1,TheEllenShow,2070299,36917,1031,2469,,,,,,,,,,
"ROMAN J. ISRAEL, ESQ. - Official Trailer (HD)",Sony Pictures Entertainment,204493,462,20,54,,,,,,,,,,
Pro-Gun Campaigner Says 'Nothing Should Be Done' About Guns in the U.S. | Good Morning Britain,Good Morning Britain,309823,3898,1217,0,,,,,,,,,,
How Much Do You Poop In A Lifetime?,The Infographics Show,138327,4801,197,1492,,,,,,,,,,
Blade Runner 2049 - Movie Review,Jeremy Jahns,360798,13394,495,1916,,,,,,,,,,
Apple & Blackberry Crumble Cupcake Recipe | Cupcake Jemma,CupcakeJemma,59021,3216,21,166,,,,,,,,,,
Teairra Mari Opens Up About Rehab,The Real Daytime,82303,1107,14,182,,,,,,,,,,
GIRLS DAY!,Casey Barker Vlogs,51946,3065,34,198,,,,,,,,,,
"My slowest, longest dab",jacksfilms,1316950,101396,3779,7796,,,,,,,,,,
Not Worth Watching feat. Zoella (and Co!),Sprinkleofglitter,346162,24939,233,1214,,,,,,,,,,
Wrestling Games - Angry Video Game Nerd (Episode 149),Cinemassacre,755159,50093,622,9209,,,,,,,,,,
Did the Las Vegas shooter plan a different attack?,Al Jazeera English,516431,1708,595,2164,,,,,,,,,,
Google Pixelbook first look,The Verge,589452,8916,511,1530,,,,,,,,,,
I'M BUYING A HOUSE!,LaurDIY,1325259,55501,651,8340,,,,,,,,,,
GoPro Hero 6!,iJustine,164775,6598,333,1104,,,,,,,,,,
Chile vs Ecuador 2-1 - All Goals & Highlights - World Cup Qualifiers 05/10/2017 HD,GOLAZO TV,274481,687,78,140,,,,,,,,,,
SPICY Noodles & Chinese BURGERS in Los Angeles: Xiâ€™an Street Food Tour,Strictly Dumpling,321051,8121,241,1199,,,,,,,,,,
CHUCKY HALLOWEEN COSTUME MAKEUP TUTORIAL W/ RAWBEAUTYKRISTI,Jordan Hanz,76522,5844,49,427,,,,,,,,,,
