title,channel_title,views,likes,dislikes,comment_total,,,,,,,,,,
INTER vs SPAL 2-0 - Goals & Highlights - 10/09/2017 (HD),Football Ã‰lite,67151,264,18,33,,,,,,,,,,
"FENTY BEAUTY | FULL FACE BEAT,  IMPRESSIONS + REVIEW",Shameless Maya,406279,20499,516,6361,,,,,,,,,,
UFC 215: Post-fight Press Conference,UFC - Ultimate Fighting Championship,131005,859,867,532,,,,,,,,,,
Tunnel Cam | Leicester City vs Chelsea | 2017/2018,LCFC,25343,167,17,42,,,,,,,,,,
One America Appeal: Our Friends In Texas,One America Appeal,952919,17703,3207,0,,,,,,,,,,
U2: You're the Best Thing About Me,The Tonight Show Starring Jimmy Fallon,288535,4772,159,397,,,,,,,,,,
Janet Jackson | What About (LIVE) | State Of The World Tour,JanetJacksonLEGACY,97368,335,11,56,,,,,,,,,,
If kids shows were honest about life,AnthonyPadilla,614608,49441,1986,3970,,,,,,,,,,
Harry Potter Theory: The History Of Hagridâ€™s Wand,SuperCarlinBrothers,463276,19286,393,2304,,,,,,,,,,
Full Face of FIRST IMPRESSIONS ðŸ¤”ðŸ’¬ Testing NEW Makeup ðŸ’•,Shaaanxo,299228,16290,155,901,,,,,,,,,,
EMOTIONAL BACK TO SCHOOL!,SACCONEJOLYs,241329,12247,203,1013,,,,,,,,,,
Mixing All My Foundations Together,Safiya Nygaard,3970592,154729,1972,7476,,,,,,,,,,
Bojack Horseman - For Your Own Good,Cameron Steggles,61565,1039,14,471,,,,,,,,,,
"The Current War Official Trailer #1 (2017) Benedict Cumberbatch, Tom Holland Biography Movie HD",Zero Media,738448,8415,199,949,,,,,,,,,,
How To Be Honest | Awkward Puppets,Awkward Puppets,1884820,55235,1132,3279,,,,,,,,,,
Are You Fooled By These Audio Illusions?,Good Mythical Morning,1834397,45754,1406,10764,,,,,,,,,,
Tracking Hurricane Irma 9-8-17 8pm Advisory,CBS Miami,1101502,4117,993,2358,,,,,,,,,,
Update: Problem with Chemo Pills,Courtelizz1,108797,3677,107,732,,,,,,,,,,
Small Hands Samsung Galaxy Note 8 Review,Linus Tech Tips,626419,20553,1033,2138,,,,,,,,,,
Kelly Clarkson - Love So Soft [Official Video],Kelly Clarkson,3026138,76495,2880,6414,,,,,,,,,,
Last Night of the Proms is even better with subtitles,John Plunkett,2217,14,1,7,,,,,,,,,,
ELEPHANT IN THE ROOM,KickThePj,104056,16458,32,1263,,,,,,,,,,
Blake Shelton - I'll Name The Dogs (Official Music Video),Blake Shelton,1851397,24773,2844,2242,,,,,,,,,,
Fifth Harmony - Deliver,FifthHarmonyVEVO,3994782,291371,11625,24235,,,,,,,,,,
[SEVENTEEN] GOING SEVENTEEN EP.14,SEVENTEEN,204310,19566,57,1727,,,,,,,,,,
George Michael - Fantasy (Audio) ft. Nile Rodgers,georgemichaelVEVO,737567,10261,802,1232,,,,,,,,,,
Young Thug & Carnage: Young Martha Homie ft Meek Mill [Official Music Video],Young Thug,713480,24229,673,2204,,,,,,,,,,
Liza Koshy's Dream Office Makeover | OMG We're Coming Over | Mr. Kate,Mr. Kate,2450950,176104,1017,6257,,,,,,,,,,
Straight From : Serge Aurier,Bros. Stories,57819,682,29,147,,,,,,,,,,
American Horror Story: CULT BEE HIVE,Madeyewlook,599742,29851,299,453,,,,,,,,,,
Graham Norton Compares His Show With Stephen's,The Late Show with Stephen Colbert,1655312,23960,455,2777,,,,,,,,,,
WE MIGHT HAVE TO EVACUATE!,Charles and Allie - CTFxC,220053,6740,853,1455,,,,,,,,,,
Foo Fighters - The Line (Audio),foofightersVEVO,657439,24309,390,1783,,,,,,,,,,
Taylor Swift NOW Presents: See What Taylorâ€™s Up To NOW | AT&T,AT&T,836133,19314,1206,0,,,,,,,,,,
James Blunt as Chief Blunt Officer at Tinder,Tinder,59384,209,12,19,,,,,,,,,,
COME SHOPPING WITH ME + HAUL: HOMESENSE EDITION | Hello October Vlog | AD,HelloOctoberxo,74896,2606,93,240,,,,,,,,,,
"ONLINE SHOPPING HAUL 2017! (with me, a shopaholic)",Amber Scholl,384624,21301,353,1559,,,,,,,,,,
NARS PowerMatte Liquid Lipstick Try On and Review,pixiwoo,79826,3740,52,375,,,,,,,,,,
9 Things You Need To Know About Kittens - Simon's Cat | 101,Simon's Cat,189372,7070,112,288,,,,,,,,,,
Jacob Rees-Mogg Says That He Opposes Abortion and Same-Sex Marriage | Good Morning Britain,Good Morning Britain,319276,4939,3627,0,,,,,,,,,,
THE ULTIMATE AMY WINEHOUSE MAKEUP TUTORIAL with Guest Artist Valli Oâ€™Reilly,Lisa Eldridge,185604,8689,202,492,,,,,,,,,,
"Oscar De La Hoya On Why Mayweather vs McGregor Was Disrespectful To Boxing, Predicts Canelo vs GGG",Breakfast Club Power 105.1 FM,538884,4610,1276,3651,,,,,,,,,,
COUPLES IT PRANK *CLOWN*,PointlessBlogVlogs,659862,43887,593,342,,,,,,,,,,
WTF HAVE I BEEN SENT? MY MOST EPIC UNBOXING YET - THE QUEEN EDITION!,Patricia Bright,338544,16458,217,2527,,,,,,,,,,
(ZO) Lonzo Ball - Melo Ball 1 Ft. Kenneth Paige,HIPHOPNMORE,445180,5189,313,502,,,,,,,,,,
The Cast of â€œItâ€ Rates Everyday Scary Things | Teen Vogue,Teen Vogue,288843,8899,55,544,,,,,,,,,,
Howell and Lester's KITCHEN NIGHTMARES - Overcooked!,DanAndPhilGAMES,900916,75199,254,7395,,,,,,,,,,
Teen Who Anthony Weiner Sexted Comes Forward: 'I Was Disgusted.',Inside Edition,60191,972,76,312,,,,,,,,,,
Triple Chocolate Caramel Banana Dessert  | How To Cook That,How To Cook That,149811,5737,87,1439,,,,,,,,,,
Lil Durk - Goofy ft. Future & Jeezy (Official Music Video),Lil Durk,291531,7401,251,585,,,,,,,,,,
MENDY LOVES HOME DEBUT | POST MATCH INTERVIEW | CITY 5-0 LIVERPOOL,Man City,87063,2203,18,351,,,,,,,,,,
It - Movie Review,Chris Stuckmann,1055582,39081,842,4809,,,,,,,,,,
My FIANCÃ‰ Buys My Outfits! OMG! Shopping Challenge 2017! Natalies Outlet,Natalies Outlet,803941,27542,553,2512,,,,,,,,,,
How to pronounce German Car Names,Speed Comparer,85630,521,35,99,,,,,,,,,,
U2 - Youâ€™re The Best Thing About Me (Lyric Video),U2VEVO,1868689,31842,1395,2798,,,,,,,,,,
Hoffenheim vs. Bayern MÃ¼nchen - The Fastest Goal and Late Lewandowski Strike,Bundesliga,56949,1129,19,111,,,,,,,,,,
Let's Play South Park The Fractured But Whole Part 1: CHARACTER CREATION AND DIFFICULTY SLIDER,Eurogamer,467118,1474,385,310,,,,,,,,,,
Massive Hurricane Irma threatens Florida and beyond,USA TODAY,828608,2935,599,2113,,,,,,,,,,
"Frank Lampard Back At Cobham, The Best El Rondo Ever And This Week At Training | Chelsea Unseen",Chelsea Football Club,181598,3370,41,199,,,,,,,,,,
iPhone X: How The Newest iPhone Came To Be | WIRED,WIRED,364765,9537,1270,1629,,,,,,,,,,
Real talk with Afrojack about pre-recorded sets,Laidback Luke,64273,3756,32,843,,,,,,,,,,
Welcome Back Bam!,Element,1368378,38304,581,2762,,,,,,,,,,
Carpool Karaoke: Shakira + Trevor Noah,Shakira,62161,1709,20,125,,,,,,,,,,
Magic: The Gathering Arena World Premiere Stream,Magic: The Gathering,181645,2399,374,1300,,,,,,,,,,
Pregnant Day Out! #Ad,SprinkleofChatter,129516,5166,221,339,,,,,,,,,,
This tiny modular home adapts to your moods,The Verge,503997,15015,1147,1319,,,,,,,,,,
Cookie Dough Sandwich Cookies! | Cupcake Jemma,CupcakeJemma,118932,5296,51,255,,,,,,,,,,
Kevin Gates - Had To [Official Audio],kevingatesTV,854299,26749,548,2233,,,,,,,,,,
Gary Clark Jr. & Junkie XL - Come Together (Justice League OST),Matches Malone,105687,4819,35,354,,,,,,,,,,
Game Theory: How Zelda Breath of the Wild SOLVES The Zelda Timeline!,The Game Theorists,2214471,85209,4165,18085,,,,,,,,,,
Out Loud (Lyric Video),The Gabbie Show,4690194,505334,13072,83992,,,,,,,,,,
Don Williams 1978,CMA Country Music Association,10139,113,0,18,,,,,,,,,,
SINGING YOUR QUESTIONS 7,SarahClose1,81262,6822,120,431,,,,,,,,,,
Film Theory: How Wonder Woman FAILED Us!,The Film Theorists,1997363,69424,5278,16930,,,,,,,,,,
5 Easy & Creative Avocado Recipes | CHEAP CLEAN EATS,blogilates,70042,5632,33,307,,,,,,,,,,
SHOPPING IN STOCKHOLM WITH ANNA | Lily Pebbles,Lily Pebbles,104581,3763,106,254,,,,,,,,,,
Bojack Horseman: Unlucky in Love,ScreenPrism,54723,2317,51,197,,,,,,,,,,
The xx cover My Love by Justin Timberlake in the Live Lounge,BBC Radio 1,255648,5970,112,178,,,,,,,,,,
Lil Uzi Vert - XO Tour Llif3 (Official Music Video),LIL UZI VERT,17521230,437405,25272,72329,,,,,,,,,,
Trying New Makeup Products,Tina Yong,167243,8387,147,453,,,,,,,,,,
The Square - Official Trailer,Magnolia Pictures & Magnet Releasing,126475,937,40,46,,,,,,,,,,
St. Vincent - Los Ageless (official audio),St. Vincent,311056,4939,318,471,,,,,,,,,,
Beck - Up All Night,BeckVEVO,740296,16644,789,1424,,,,,,,,,,
How Fast Do Tailsâ€™ Tails Gotta Go To Fly? (Because Science w/ Kyle Hill),Nerdist,149777,6768,92,793,,,,,,,,,,
James Blunt - California [Official Lyric Video],James Blunt,278555,12005,165,330,,,,,,,,,,
Bill SkarsgÃ¥rd's Demonic â€œIT Smile  - CONAN on TBS,Team Coco,1796205,26393,464,2278,,,,,,,,,,
1 YEAR OF VLOGGING -- HOW LOGAN PAUL CHANGED YOUTUBE FOREVER!,Logan Paul Vlogs,5457215,349832,17471,52478,,,,,,,,,,
"Hello, world. Meet our baby girl: Alexis Olympia Ohanian, Jr.",Alexis Ohanian,1109739,11238,1809,3626,,,,,,,,,,
"Live Apple Event - Apple September Event 2017 - iPhone 8, iPhone X, iOS 11 - Apple Keynote",Apple Event,7920718,81587,14433,1460,,,,,,,,,,
iPhone X (parody),jacksfilms,2083895,128378,1136,8733,,,,,,,,,,
Buying Things For The House & Getting Hurt | Tanya Burr,Tanya Burr,193416,7410,212,472,,,,,,,,,,
SPIKED by a Sea Urchin?,Brave Wilderness,1398012,35862,619,6241,,,,,,,,,,
Apple iPhone X first look,The Verge,3654631,30830,6099,16709,,,,,,,,,,
Lana Del Rey - White Mustang (Official Video),LanaDelReyVEVO,1568532,174682,2162,19186,,,,,,,,,,
Baby Name Challenge!,Sprinkleofglitter,153181,9241,134,907,,,,,,,,,,
"SOY PABLO Extended Trailer  -- A Bad Lip Reading of Narcos, a Netflix Original Series",Bad Lip Reading,504620,29196,457,2233,,,,,,,,,,
Honest Trailers - The Mummy (2017),Screen Junkies,1341911,33110,1035,4709,,,,,,,,,,
My DNA Test Results! I'm WHAT?!,emmablackery,197058,14771,224,1257,,,,,,,,,,
The real reason To Kill A Mockingbird became so famous,Vox,380211,11550,1284,1778,,,,,,,,,,
playing with old fridges -  public information film 1970s UK advert,BlytheWorld1972,27927,169,3,85,,,,,,,,,,
ATTACKED BY A POLICE DOG!!,RomanAtwoodVlogs,1637505,76339,936,6052,,,,,,,,,,
Flinch w/ Fifth Harmony,The Late Late Show with James Corden,743189,28799,609,1980,,,,,,,,,,
getting into a conversation in a language you don't actually speak that well,ProZD,1805172,72614,1714,4056,,,,,,,,,,
Everything Wrong With Alien: Covenant In 16 Minutes Or Less,CinemaSins,1461311,35310,1062,6077,,,,,,,,,,
Angelica Hale: 10-Year-Old Singer Blows The Audience Away - America's Got Talent 2017,America's Got Talent,1152533,25561,1142,4237,,,,,,,,,,
Fergie - You Already Know ft. Nicki Minaj,FergieVEVO,1668188,88156,5892,7369,,,,,,,,,,
Radiohead - Lift,Radiohead,1091878,49488,537,3881,,,,,,,,,,
Official US Find Your Voice Trailer - Disney/Pixar's Coco,Disneyâ€¢Pixar,558740,4842,259,1083,,,,,,,,,,
Nerf Bow Trick Shots | Dude Perfect,Dude Perfect,11475270,398493,8158,24861,,,,,,,,,,
Juicy Chicken Breast - You Suck at Cooking (episode 65),You Suck At Cooking,585991,26814,778,2165,,,,,,,,,,
PUBG AIRSOFT - REAL LIFE BATTLEGROUNDS!,Node,257201,10096,227,1362,,,,,,,,,,
Weekend in BRIGHTON with Mike! | Fleur De Vlog,FleurDeVlog,81675,3085,42,308,,,,,,,,,,
A Day In The Life: What I Eat In A Day | The Anna Edit,The Anna Edit,46864,1893,47,159,,,,,,,,,,
"REVEALED - FIFA 18 stats for Chelsea's Hazard, Luiz & Christensen!",Rio Ferdinand Presents FIVE,482329,11797,178,575,,,,,,,,,,
Best Floyd Mayweather Interview | Awkward Puppets,Awkward Puppets,705475,34493,549,3180,,,,,,,,,,
Bolton 0-1 Blades - match action,SheffieldUTube,9749,153,4,10,,,,,,,,,,
What's Actually the Plane of the Future,Wendover Productions,772128,21776,813,2839,,,,,,,,,,
