ISO_code,countries,region,personal freedom,economic freedom,human freedom,Demography,Education,Environmental sustainability,Gender,Health,Human Security,Income/composition of resources,Inequality,Poverty,Socio-economic sustainability,Trade and financial flows,"Work, employment and vulnerability",Happy Index
JOR,Jordan,Middle East & North Africa,6.238666517,7.46,6.849333258,173.75,321.911,0.959,16644.252,232.438,2.1,16726.567,82.687,12,20.6,101.36,287.5,12
KAZ,Kazakhstan,Caucasus & Central Asia,6.375675545,7.11,6.742837772,145.26,823.914,0.873,45930.77,212.87,2.4,47158.619,42.351,0.2,0,-2.78,395.8,19.1
KEN,Kenya,Sub-Saharan Africa,6.44553669,7.2,6.822768345,189.93,156.551,0.801,6753.898,220.628,7.6,6164.812,133.263,26.8,19.3,43.42,432,24.2
KOR,"Korea, South",East Asia,8.766349858,7.53,8.148174929,217.67,367.762,0.782,72129.98,251.859,0.2,73934.689,73.313,0.2,115.7,87.01,362.1,13
KWT,Kuwait,Middle East & North Africa,5.630574474,6.75,6.190287237,139.35,218.92,0.868,133240.32,227.643,1.1,136419.291,25.4,0.1,0,27.02,360.9,14
KGZ,Kyrgyz Republic,Caucasus & Central Asia,6.247012954,6.93,6.588506477,105.06,368.935,0.984,6870.197,225.086,2.8,6720.326,51.357,16.7,32.2,134.96,380,15
LAO,Laos,South Asia,5.863586171,6.91,6.386793085,106.25,167.584,0.81,12618.695,230.723,7.1,12540.52,131.215,77.2,62.2,76.54,488.3,16
LVA,Latvia,Eastern Europe,8.851068084,7.64,8.245534042,127.16,384.566,0.988,51054.698,230.642,0.2,50211.634,53.846,0,112.7,136.78,349.2,17.1
LBN,Lebanon,Middle East & North Africa,6.429994179,6.99,6.70999709,146.95,227.037,0.918,26867.689,279.519,5.3,26849.84,14.356,0.4,21.8,85.34,313.8,21.9
LSO,Lesotho,Sub-Saharan Africa,6.68844396,6.38,6.53422198,99.03,136.102,0.966,7330.413,176.032,0,6128.426,154.441,55.3,0,15.19,432.9,16.7
LBR,Liberia,Sub-Saharan Africa,6.403401744,6.56,6.481700872,141.15,131.734,0.89,2374.24,203.662,6,1423.887,156.947,68.7,0,26.89,392.8,22.2
LBY,Libya,Middle East & North Africa,3.880565623,4.74,4.310282812,140.86,234.616,0.971,22311.356,224.302,11.2,29137.011,14.789,10.4,0,0,373.5,17
LTU,Lithuania,Eastern Europe,8.821338926,7.86,8.340669463,125.15,370.279,0.988,57606.003,234.043,0.1,57954.553,59.843,0,113.2,167.86,344.8,21
LUX,Luxembourg,Western Europe,9.257401822,7.6,8.428700911,137.25,378.992,0.987,130194.889,248.853,0,159561.978,54.155,0,82.7,402.98,345.2,13.2
MKD,Macedonia,Eastern Europe,7.413658024,7.13,7.271829012,105.45,213.391,0.971,25459.839,248.459,1.7,25727.129,64.964,4.9,112.1,128.57,370.4,23.4
MDG,Madagascar,Sub-Saharan Africa,6.835123509,6.19,6.512561755,160.13,51.098,0.795,3371.024,261.612,0.3,2844.794,129.783,86.4,15.2,76.78,525.4,18
MWI,Malawi,Sub-Saharan Africa,7.445213609,5.86,6.652606805,138.33,109.751,0.806,3045.857,215.572,0.4,2193.157,153.265,82.6,13.4,65.75,469,22.1
MYS,Malaysia,South Asia,5.902979954,6.92,6.411489977,178.66,312.519,0.687,52083.994,235.553,0.5,53788.941,22.91,1.1,25.5,139.02,364.1,30.3
MLI,Mali,Sub-Saharan Africa,6.060929471,5.8,5.930464736,175.15,67.193,0.982,4841.798,241.992,150.3,4051.349,166.394,75.9,19.9,69.9,486,19
MLT,Malta,Western Europe,8.977997462,7.73,8.353998731,147.56,315.218,0.883,69005.587,254.939,0,71044.182,44.329,0,60.6,7.38,319.2,29
MRT,Mauritania,Sub-Saharan Africa,4.987749776,5.96,5.473874888,137.15,94.689,0.978,8002.098,223.867,36.5,7264.941,165.136,15.9,56.8,122.54,359.1,18
MUS,Mauritius,Sub-Saharan Africa,7.717465632,8.01,7.863732816,85.74,315.329,0.401,40864.753,240.544,0.1,40650.702,69.941,1.9,16.9,77.21,351.7,27.4
MEX,Mexico,Latin America & the Caribbean,6.796020397,6.9,6.848010198,366.85,246.878,0.678,34276.848,237.782,11.7,36597.475,106.765,11.3,63.1,80.16,374.1,40.7
MDA,Moldova,Eastern Europe,7.059029525,6.64,6.849514762,87.56,359.71,0.968,11461.72,231.896,2.3,10809.207,54.126,0.9,84,133.47,297.3,20
MNG,Mongolia,East Asia,7.998312553,7.4,7.699156277,125.83,343.966,0.946,20592.697,211.361,2.2,22070.197,70.961,2.1,116.2,115.08,387.2,14.3
MNE,Montenegro,Eastern Europe,7.630104133,7.04,7.335052066,117.66,352.39,0.816,33863.113,279.681,0.7,33224.174,47.076,0.4,29.3,114.89,329,25.1
MAR,Morocco,Middle East & North Africa,5.986756512,6.37,6.178378256,179.96,148.329,0.886,15065.821,231.062,3.1,15237.149,14.742,8.2,33.2,90.77,351,32.7
MOZ,Mozambique,Sub-Saharan Africa,6.659206645,5.5,6.079603322,179.63,102.785,0.83,2978.688,202.198,0.1,2317.361,164.293,76.8,35.6,110.39,542.9,23.7
MMR,Myanmar,South Asia,5.463360869,5.42,5.441680434,176.63,433.143,0.807,11602.884,223.919,1106.6,11499.107,96.909,41.9,17.7,3.8,405,24.7
NAM,Namibia,Sub-Saharan Africa,7.394915502,6.4,6.897457751,121.73,179.371,0.966,19396.699,220.99,1.4,19048.786,168.219,26.4,17.6,85.91,407.2,21.6
NPL,Nepal,South Asia,6.91161139,6.53,6.720805695,130.57,566.002,0.825,5510.615,227.579,8.4,5106.984,125.777,32.6,42.5,80.91,512.5,30.5
NLD,Netherlands,Western Europe,9.39884236,7.71,8.55442118,178.55,356.706,0.943,96199.707,255.954,0,97416.632,42.432,0,97.6,205.18,361,35.3
NZL,New Zealand,Oceania,9.284819157,8.49,8.887409579,150.36,391.917,0.634,68433.034,259.054,0,70229.88,40.996,0,0,1.83,395.2,31.3
NIC,Nicaragua,Latin America & the Caribbean,6.432494726,7.27,6.851247363,123.15,199.158,0.854,10809.329,229.756,1.5,10591.196,115.389,8.8,29,107.4,399.3,38.7
NER,Niger,Sub-Saharan Africa,5.714520097,6.01,5.862260048,165.55,42.214,0.939,2774.699,210.922,1.4,1905.033,145.472,73.9,33.7,52.04,497.4,16.8
NGA,Nigeria,Sub-Saharan Africa,5.823617206,6.32,6.071808603,468.66,48.983,0.874,11686.281,271.221,216,11611.898,174.401,196119.294,0,3.85,405.9,22.2
NOR,Norway,Western Europe,9.342481133,7.6,8.471240566,145.86,379.415,0.943,136088.527,252.959,0,133179.385,43.107,0,111.2,73.95,354.1,36.8
OMN,Oman,Middle East & North Africa,5.509055213,6.76,6.134527607,125.15,275.306,0.885,60691.936,235.481,0,74427.89,7.918,0.5,0,0.06,381.8,21.1
PAK,Pakistan,South Asia,5.324592448,6,5.662296224,452.79,156.011,0.862,10769.816,241.617,128.9,11406.9,151.034,31.2,16.1,31.86,361.9,31.5
PAN,Panama,Latin America & the Caribbean,7.715240074,7.58,7.647620037,130.45,281.592,0.735,38713.112,241.695,0,41620.394,104.324,4.3,0,0.56,397.9,39.5
PNG,Pap. New Guinea,Oceania,7.254948816,6.25,6.752474408,94.68,60.83,0.839,7113.541,267.003,0.4,7302.333,37.706,46.8,0,0.01,452.6,22
PRY,Paraguay,Latin America & the Caribbean,6.974598187,6.95,6.962299094,130.35,208.031,0.949,17093.709,233.619,0.1,17330.869,126.622,4.4,63.3,85.57,415.4,23.3
PER,Peru,Latin America & the Caribbean,7.720786695,7.43,7.575393347,190.05,256.389,0.723,23913.152,253.55,2.6,24440.921,97.343,8.8,104.5,45.24,451.1,34.6
PHL,Philippines,South Asia,6.497526694,7.34,6.918763347,293.46,323.661,0.648,18639.464,230.658,0.4,17642.482,90.606,18.2,25,83.06,376,35
POL,Poland,Eastern Europe,8.353120455,7.27,7.811560227,179.86,341.266,0.97,53029.705,239.189,1.1,54492.141,47.456,0,114.5,104.01,329.7,27.5
